sampleID,SampleName,run_number,dat_filename,nxs_filename,dat_dropbox_link,nxs_dropbox_link,xrd_csv_source_name,matrix_csv_source_link,matrix_csv_dat_column,matrix_csv_dat_column_letter,nxs_filename_processed_time_not_used_for_alignment,nxs_processed_metadata_times_not_used,dsc_match_method,dsc_row_number,dsc_temperature_c,dsc_heat_flow,dsc_heat_flow_units,dsc_temperature_cell,dsc_heat_flow_cell,dsc_curve_pair_label,dsc_csv_source_link,dsc_001_size_mg,dsc_001_start_datetime
sa066017,MC8-1-edge,177523,177523_00000.dat,177523_processed_250820_141334.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177523_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177523_processed_250820_141334.nxs,AWE2_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,2,B,20/08/2025 14:13,/processed/process/date=2025-08-20T14:13:00+01:00 | binary_scan_diagnostic_only=2025-08-20T14:13:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1256,-30.0683,0.5054886,mW or source units,A1256,B1256,"AWE2_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,11.5000 mg,06/07/2025 05:01
sa066017,MC8-1-edge,177525,177525_00000.dat,177525_processed_250820_141335.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177525_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177525_processed_250820_141335.nxs,AWE2_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,3,C,20/08/2025 14:13,/processed/process/date=2025-08-20T14:13:00+01:00 | binary_scan_diagnostic_only=2025-08-20T14:13:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1268,-29.82602,0.4704578,mW or source units,A1268,B1268,"AWE2_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,11.5000 mg,06/07/2025 05:01
sa066017,MC8-1-edge,177527,177527_00000.dat,177527_processed_250820_141335.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177527_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177527_processed_250820_141335.nxs,AWE2_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,4,D,20/08/2025 14:13,/processed/process/date=2025-08-20T14:13:00+01:00 | binary_scan_diagnostic_only=2025-08-20T14:13:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1279,-29.57358,0.452775,mW or source units,A1279,B1279,"AWE2_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,11.5000 mg,06/07/2025 05:01
sa066017,MC8-1-edge,177529,177529_00000.dat,177529_processed_250820_141335.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177529_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177529_processed_250820_141335.nxs,AWE2_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,5,E,20/08/2025 14:13,/processed/process/date=2025-08-20T14:13:00+01:00 | binary_scan_diagnostic_only=2025-08-20T14:13:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1291,-29.27592,0.4295441,mW or source units,A1291,B1291,"AWE2_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,11.5000 mg,06/07/2025 05:01
sa066017,MC8-1-edge,177531,177531_00000.dat,177531_processed_250820_141336.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177531_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177531_processed_250820_141336.nxs,AWE2_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,6,F,20/08/2025 14:13,/processed/process/date=2025-08-20T14:13:00+01:00 | binary_scan_diagnostic_only=2025-08-20T14:13:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1302,-28.98589,0.4109142,mW or source units,A1302,B1302,"AWE2_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,11.5000 mg,06/07/2025 05:01
sa066017,MC8-1-edge,177533,177533_00000.dat,177533_processed_250820_141336.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177533_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177533_processed_250820_141336.nxs,AWE2_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,7,G,20/08/2025 14:13,/processed/process/date=2025-08-20T14:13:00+01:00 | binary_scan_diagnostic_only=2025-08-20T14:13:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1314,-28.66077,0.3928574,mW or source units,A1314,B1314,"AWE2_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,11.5000 mg,06/07/2025 05:01
sa066017,MC8-1-edge,177535,177535_00000.dat,177535_processed_250820_141336.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177535_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177535_processed_250820_141336.nxs,AWE2_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,8,H,20/08/2025 14:13,/processed/process/date=2025-08-20T14:13:00+01:00 | binary_scan_diagnostic_only=2025-08-20T14:13:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1325,-28.35813,0.375812,mW or source units,A1325,B1325,"AWE2_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,11.5000 mg,06/07/2025 05:01
sa066017,MC8-1-edge,177537,177537_00000.dat,177537_processed_250820_141337.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177537_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177537_processed_250820_141337.nxs,AWE2_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,9,I,20/08/2025 14:13,/processed/process/date=2025-08-20T14:13:00+01:00 | binary_scan_diagnostic_only=2025-08-20T14:13:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1337,-28.02196,0.3578232,mW or source units,A1337,B1337,"AWE2_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,11.5000 mg,06/07/2025 05:01
sa066017,MC8-1-edge,177539,177539_00000.dat,177539_processed_250820_141337.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177539_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177539_processed_250820_141337.nxs,AWE2_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,10,J,20/08/2025 14:13,/processed/process/date=2025-08-20T14:13:00+01:00 | binary_scan_diagnostic_only=2025-08-20T14:13:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1348,-27.70937,0.3419607,mW or source units,A1348,B1348,"AWE2_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,11.5000 mg,06/07/2025 05:01
sa066017,MC8-1-edge,177541,177541_00000.dat,177541_processed_250820_141337.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177541_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=177541_processed_250820_141337.nxs,AWE2_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,11,K,20/08/2025 14:13,/processed/process/date=2025-08-20T14:13:00+01:00 | binary_scan_diagnostic_only=2025-08-20T14:13:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1360,-27.36392,0.3249748,mW or source units,A1360,B1360,"AWE2_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,11.5000 mg,06/07/2025 05:01
