dataset_id,sampleID,SampleName,measurement_id,run_number,dat_filename,dat_file_type,dat_online_url,nxs_filename,nxs_file_type,nxs_online_url,xrd_matrix_filename,xrd_matrix_source_name,xrd_matrix_online_url,xrd_matrix_dat_column_index,xrd_matrix_dat_column_letter,dsc_csv_filename,dsc_csv_online_url,dsc_program_segment,dsc_curve_pair_label,dsc_temperature_column,dsc_heat_flow_column,dsc_row_number,dsc_temperature_cell,dsc_heat_flow_cell,dsc_temperature_c,dsc_heat_flow,dsc_heat_flow_units,dsc_001_filename,dsc_001_online_url,dsc_001_size_mg,dsc_001_start_datetime,match_method,match_confidence,nxs_processed_timestamp_not_used_for_alignment,nxs_processed_metadata_not_used_for_alignment,matched_csv_filename,recommended_github_path,kg_note
,sa066015,MC5-3-edge,AWE1_XRD_run_171193,171193,171193_00000.dat,XRD_DAT,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171193_00000.dat,171193_processed_250820_133018.nxs,XRD_NXS,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171193_processed_250820_133018.nxs,AWE1_AWE_XRD_matrix.csv,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,2,B,AWE1_DSC.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,first-heating,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",A,B,985,A985,B985,-28.50431,0.8936164,mW or source units,AWE S1.001,,11.2000 mg,05/07/2025 09:11,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,medium/inferred,20/08/2025 13:30,/processed/process/date=2025-08-20T13:30:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:30:00+01:00,xrd_dsc_matched_AWE1_MC5-3-edge.csv,XRD_DSC_DiamondLightSource/Data/Metadata/file_manifest_AWE1_MC5-3-edge.csv,"One row represents one XRD pattern/run linked to its DAT file, NXS file, XRD matrix column, and assigned DSC CSV row/cells."
,sa066015,MC5-3-edge,AWE1_XRD_run_171195,171195,171195_00000.dat,XRD_DAT,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171195_00000.dat,171195_processed_250820_133149.nxs,XRD_NXS,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171195_processed_250820_133149.nxs,AWE1_AWE_XRD_matrix.csv,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,3,C,AWE1_DSC.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,first-heating,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",A,B,1005,A1005,B1005,-28.88099,0.8699335,mW or source units,AWE S1.001,,11.2000 mg,05/07/2025 09:11,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,medium/inferred,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,xrd_dsc_matched_AWE1_MC5-3-edge.csv,XRD_DSC_DiamondLightSource/Data/Metadata/file_manifest_AWE1_MC5-3-edge.csv,"One row represents one XRD pattern/run linked to its DAT file, NXS file, XRD matrix column, and assigned DSC CSV row/cells."
,sa066015,MC5-3-edge,AWE1_XRD_run_171197,171197,171197_00000.dat,XRD_DAT,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171197_00000.dat,171197_processed_250820_133149.nxs,XRD_NXS,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171197_processed_250820_133149.nxs,AWE1_AWE_XRD_matrix.csv,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,4,D,AWE1_DSC.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,first-heating,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",A,B,1025,A1025,B1025,-29.24268,0.8467524,mW or source units,AWE S1.001,,11.2000 mg,05/07/2025 09:11,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,medium/inferred,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,xrd_dsc_matched_AWE1_MC5-3-edge.csv,XRD_DSC_DiamondLightSource/Data/Metadata/file_manifest_AWE1_MC5-3-edge.csv,"One row represents one XRD pattern/run linked to its DAT file, NXS file, XRD matrix column, and assigned DSC CSV row/cells."
,sa066015,MC5-3-edge,AWE1_XRD_run_171199,171199,171199_00000.dat,XRD_DAT,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171199_00000.dat,171199_processed_250820_133149.nxs,XRD_NXS,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171199_processed_250820_133149.nxs,AWE1_AWE_XRD_matrix.csv,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,5,E,AWE1_DSC.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,first-heating,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",A,B,1044,A1044,B1044,-29.49452,0.7990481,mW or source units,AWE S1.001,,11.2000 mg,05/07/2025 09:11,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,medium/inferred,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,xrd_dsc_matched_AWE1_MC5-3-edge.csv,XRD_DSC_DiamondLightSource/Data/Metadata/file_manifest_AWE1_MC5-3-edge.csv,"One row represents one XRD pattern/run linked to its DAT file, NXS file, XRD matrix column, and assigned DSC CSV row/cells."
,sa066015,MC5-3-edge,AWE1_XRD_run_171201,171201,171201_00000.dat,XRD_DAT,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171201_00000.dat,171201_processed_250820_133148.nxs,XRD_NXS,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171201_processed_250820_133148.nxs,AWE1_AWE_XRD_matrix.csv,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,6,F,AWE1_DSC.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,first-heating,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",A,B,1064,A1064,B1064,-29.62797,0.7717944,mW or source units,AWE S1.001,,11.2000 mg,05/07/2025 09:11,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,medium/inferred,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,xrd_dsc_matched_AWE1_MC5-3-edge.csv,XRD_DSC_DiamondLightSource/Data/Metadata/file_manifest_AWE1_MC5-3-edge.csv,"One row represents one XRD pattern/run linked to its DAT file, NXS file, XRD matrix column, and assigned DSC CSV row/cells."
,sa066015,MC5-3-edge,AWE1_XRD_run_171203,171203,171203_00000.dat,XRD_DAT,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171203_00000.dat,171203_processed_250820_133148.nxs,XRD_NXS,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171203_processed_250820_133148.nxs,AWE1_AWE_XRD_matrix.csv,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,7,G,AWE1_DSC.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,first-heating,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",A,B,1084,A1084,B1084,-29.72092,0.7494734,mW or source units,AWE S1.001,,11.2000 mg,05/07/2025 09:11,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,medium/inferred,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,xrd_dsc_matched_AWE1_MC5-3-edge.csv,XRD_DSC_DiamondLightSource/Data/Metadata/file_manifest_AWE1_MC5-3-edge.csv,"One row represents one XRD pattern/run linked to its DAT file, NXS file, XRD matrix column, and assigned DSC CSV row/cells."
,sa066015,MC5-3-edge,AWE1_XRD_run_171205,171205,171205_00000.dat,XRD_DAT,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171205_00000.dat,171205_processed_250820_133148.nxs,XRD_NXS,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171205_processed_250820_133148.nxs,AWE1_AWE_XRD_matrix.csv,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,8,H,AWE1_DSC.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,first-heating,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",A,B,1104,A1104,B1104,-29.79805,0.7293032,mW or source units,AWE S1.001,,11.2000 mg,05/07/2025 09:11,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,medium/inferred,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,xrd_dsc_matched_AWE1_MC5-3-edge.csv,XRD_DSC_DiamondLightSource/Data/Metadata/file_manifest_AWE1_MC5-3-edge.csv,"One row represents one XRD pattern/run linked to its DAT file, NXS file, XRD matrix column, and assigned DSC CSV row/cells."
,sa066015,MC5-3-edge,AWE1_XRD_run_171207,171207,171207_00000.dat,XRD_DAT,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171207_00000.dat,171207_processed_250820_133147.nxs,XRD_NXS,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171207_processed_250820_133147.nxs,AWE1_AWE_XRD_matrix.csv,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,9,I,AWE1_DSC.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,first-heating,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",A,B,1124,A1124,B1124,-29.86348,0.7086658,mW or source units,AWE S1.001,,11.2000 mg,05/07/2025 09:11,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,medium/inferred,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,xrd_dsc_matched_AWE1_MC5-3-edge.csv,XRD_DSC_DiamondLightSource/Data/Metadata/file_manifest_AWE1_MC5-3-edge.csv,"One row represents one XRD pattern/run linked to its DAT file, NXS file, XRD matrix column, and assigned DSC CSV row/cells."
,sa066015,MC5-3-edge,AWE1_XRD_run_171209,171209,171209_00000.dat,XRD_DAT,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171209_00000.dat,171209_processed_250820_133147.nxs,XRD_NXS,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171209_processed_250820_133147.nxs,AWE1_AWE_XRD_matrix.csv,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,10,J,AWE1_DSC.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,first-heating,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",A,B,1143,A1143,B1143,-29.9209,0.6893849,mW or source units,AWE S1.001,,11.2000 mg,05/07/2025 09:11,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,medium/inferred,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,xrd_dsc_matched_AWE1_MC5-3-edge.csv,XRD_DSC_DiamondLightSource/Data/Metadata/file_manifest_AWE1_MC5-3-edge.csv,"One row represents one XRD pattern/run linked to its DAT file, NXS file, XRD matrix column, and assigned DSC CSV row/cells."
,sa066015,MC5-3-edge,AWE1_XRD_run_171211,171211,171211_00000.dat,XRD_DAT,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171211_00000.dat,171211_processed_250820_133147.nxs,XRD_NXS,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171211_processed_250820_133147.nxs,AWE1_AWE_XRD_matrix.csv,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,11,K,AWE1_DSC.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,first-heating,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",A,B,1163,A1163,B1163,-29.97616,0.6701335,mW or source units,AWE S1.001,,11.2000 mg,05/07/2025 09:11,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,medium/inferred,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,xrd_dsc_matched_AWE1_MC5-3-edge.csv,XRD_DSC_DiamondLightSource/Data/Metadata/file_manifest_AWE1_MC5-3-edge.csv,"One row represents one XRD pattern/run linked to its DAT file, NXS file, XRD matrix column, and assigned DSC CSV row/cells."
